sent,received,G,S
44,41,0.08566272,0.07982208
44,41,0.08566272,0.07982208
108,78,0.2102630399999999,0.15185664
108,78,0.2102630399999999,0.15185664
151,99,0.29397888,0.19274112
151,99,0.29397888,0.19274112
206,129,0.40105728,0.25114752
206,129,0.40105728,0.25114752
214,115,0.41663232,0.2238911999999999
214,115,0.41663232,0.2238911999999999
285,140,0.5548608,0.2725632
285,140,0.5548608,0.2725632
343,141,0.66777984,0.27451008
343,141,0.66777984,0.27451008
355,144,0.6911423999999999,0.28035072
355,144,0.6911423999999999,0.28035072
450,137,0.876096,0.26672256
450,137,0.876096,0.26672256
441,134,0.85857408,0.26088192
441,134,0.85857408,0.26088192
538,135,1.04742144,0.2628288
538,135,1.04742144,0.2628288
546,115,1.06299648,0.2238911999999999
546,115,1.06299648,0.2238911999999999
582,109,1.13308416,0.21220992
582,109,1.13308416,0.21220992
636,103,1.23821568,0.20052864
636,103,1.23821568,0.20052864
658,101,1.28104704,0.19663488
658,101,1.28104704,0.19663488
681,108,1.32582528,0.2102630399999999
681,108,1.32582528,0.2102630399999999
748,106,1.45626624,0.20636928
748,106,1.45626624,0.20636928
793,90,1.54387584,0.1752192
793,90,1.54387584,0.1752192
793,89,1.54387584,0.1732723199999999
793,89,1.54387584,0.1732723199999999
854,86,1.66263552,0.16743168
854,86,1.66263552,0.16743168
893,81,1.73856384,0.15769728
893,81,1.73856384,0.15769728
935,68,1.8203328,0.13238784
935,68,1.8203328,0.13238784
1001,52,1.94882688,0.10123776
1001,52,1.94882688,0.10123776
997,66,1.94103936,0.12849408
997,66,1.94103936,0.12849408
1042,52,2.02864896,0.10123776
1042,52,2.02864896,0.10123776
1047,56,2.03838336,0.10902528
1047,56,2.03838336,0.10902528
1090,47,2.1220992,0.0915033599999999
1090,47,2.1220992,0.0915033599999999
1108,60,2.15714304,0.1168128
1108,60,2.15714304,0.1168128
1164,42,2.26616832,0.0817689599999999
1164,42,2.26616832,0.0817689599999999
1201,39,2.33820288,0.07592832
1201,39,2.33820288,0.07592832
1181,45,2.29926528,0.0876096
1181,45,2.29926528,0.0876096
1184,58,2.30510592,0.11291904
1184,58,2.30510592,0.11291904
1280,37,2.4920064,0.07203456
1280,37,2.4920064,0.07203456
1304,43,2.53873152,0.08371584
1304,43,2.53873152,0.08371584
1307,30,2.54457216,0.0584064
1307,30,2.54457216,0.0584064
1395,27,2.7158976,0.0525657599999999
1395,27,2.7158976,0.0525657599999999
1343,28,2.61465984,0.05451264
1343,28,2.61465984,0.05451264
1407,30,2.73926016,0.0584064
1407,30,2.73926016,0.0584064
1495,21,2.9105856,0.0408844799999999
1495,21,2.9105856,0.0408844799999999
1465,24,2.8521792,0.04672512
1465,24,2.8521792,0.04672512
1462,21,2.84633856,0.0408844799999999
1462,21,2.84633856,0.0408844799999999
1463,27,2.84828544,0.0525657599999999
1463,27,2.84828544,0.0525657599999999
1572,16,3.06049536,0.03115008
1572,16,3.06049536,0.03115008
1533,20,2.98456704,0.0389375999999999
1533,20,2.98456704,0.0389375999999999
1591,20,3.09748608,0.0389375999999999
1591,20,3.09748608,0.0389375999999999
1632,19,3.17730816,0.03699072
1632,19,3.17730816,0.03699072
1674,13,3.25907712,0.02530944
1674,13,3.25907712,0.02530944
1673,12,3.2571302400000004,0.02336256
1673,12,3.2571302400000004,0.02336256
1709,8,3.32721792,0.01557504
1709,8,3.32721792,0.01557504
1741,11,3.38951808,0.02141568
1741,11,3.38951808,0.02141568
