sent,received,G,S
13949,2906,0.7891786239999999,0.164409856
13987,2900,0.791328512,0.1640703999999999
12401,3144,0.7015989759999999,0.1778749439999999
12242,3117,0.692603392,0.176347392
12264,3078,0.6938480639999999,0.1741409279999999
8647,3311,0.4892126719999999,0.1873231359999999
10548,3212,0.596763648,0.181722112
7011,3197,0.3966543359999999,0.1808734719999999
1734,1463,0.0981027839999999,0.082770688
3543,2424,0.2004487679999999,0.1371402239999999
879,789,0.0497303039999999,0.0446384639999999
162,162,0.0091653119999999,0.0091653119999999
893,800,0.0505223679999999,0.0452608
5281,2916,0.298777856,0.1649756159999999
6976,3242,0.394674176,0.183419392
17505,2441,0.99036288,0.138102016
20954,1958,1.185493504,0.1107758079999999
24054,1604,1.360879104,0.0907479039999999
1769,1435,0.1000829439999999,0.0811865599999999
15950,2595,0.9023872,0.1468147199999999
27769,1182,1.5710589439999998,0.066872832
34569,690,1.955775744,0.03903744
42718,318,2.416813568,0.017991168
51620,151,2.9204531199999995,0.0085429759999999
51281,150,2.901273856,0.0084864
841,773,0.0475804159999999,0.0437332479999999
68289,27,3.863518464,0.0015275519999999
37925,499,2.1456447999999995,0.0282314239999999
1720,1436,0.0973107199999999,0.081243136
2676,1991,0.1513973759999999,0.1126428159999999
2012,1578,0.1138309119999999,0.0892769279999999
84443,6,4.777447168,0.0003394559999999
7977,3349,0.451306752,0.189473024
75681,20,4.281728255999999,0.0011315199999999
59657,72,3.375154432,0.004073472
29798,1018,1.685851648,0.0575943679999999
59819,58,3.3843197439999995,0.003281408
83840,6,4.74333184,0.00033945599999999997
