id,time,snr,rssi,collision,missed_start,missed_end,interrupted
2,0.043218,135.0,15.0,False,True,False,
3,0.304435,135.0,15.0,False,False,False,
4,0.5656519999999999,135.0,15.0,False,False,True,True
6,0.826869,135.0,15.0,False,False,False,
7,1.0880859999999999,135.0,15.0,False,False,True,True
9,1.349303,135.0,15.0,False,False,False,
10,1.61052,135.0,15.0,False,False,False,
12,1.871737,135.0,15.0,False,False,False,
13,2.132954,135.0,15.0,False,False,False,
15,2.394171,135.0,15.0,False,False,False,
16,2.655388,135.0,15.0,False,False,False,
18,2.9166049999999997,135.0,15.0,False,False,False,
19,3.177822,135.0,15.0,False,False,False,
21,3.4390389999999997,135.0,15.0,False,False,False,
22,3.700256,135.0,15.0,False,False,False,
24,3.961473,135.0,15.0,False,False,False,
