sent,received,G_measured,G,S
539,539,0.15247232,0.2,0.15247232
1021,1018,0.28882048,0.4,0.28797184
1326,1326,0.3750988799999999,0.6,0.3750988799999999
1604,1603,0.4537395199999999,0.8,0.4534566399999999
1732,1731,0.4899481599999999,1.0,0.48966528
1899,1898,0.53718912,1.2,0.53690624
2086,2086,0.59008768,1.4,0.59008768
2199,2199,0.6220531199999999,1.6,0.6220531199999999
2282,2282,0.6455321599999999,1.8,0.6455321599999999
2350,2349,0.664768,2.0,0.6644851199999999
2432,2432,0.6879641599999999,2.2,0.6879641599999999
2515,2514,0.7114431999999999,2.4,0.7111603199999998
2531,2530,0.7159692799999999,2.6,0.7156863999999998
2620,2619,0.7411456,2.8,0.74086272
2648,2647,0.7490662399999999,3.0,0.7487833599999999
2680,2679,0.7581183999999999,3.2,0.7578355199999999
2740,2739,0.7750912,3.4,0.7748083199999999
2771,2766,0.7838604799999999,3.6,0.7824460799999998
2822,2822,0.7982873599999999,3.8,0.7982873599999999
2821,2818,0.7980044799999999,4.0,0.79715584
2842,2842,0.8039449599999999,4.2,0.8039449599999999
2865,2865,0.8104511999999999,4.4,0.8104511999999999
2908,2906,0.8226150399999999,4.6,0.82204928
2925,2924,0.8274239999999999,4.8,0.8271411199999998
2941,2939,0.8319500799999999,5.0,0.83138432
2964,2963,0.8384563199999999,5.2,0.8381734399999999
2996,2993,0.8475084799999999,5.4,0.8466598399999999
3007,3006,0.8506201599999998,5.6,0.85033728
3013,3012,0.8523174399999999,5.8,0.8520345599999999
3030,3028,0.8571264,6.0,0.8565606399999999
3029,3026,0.8568435199999999,6.2,0.8559948799999999
3064,3058,0.86674432,6.4,0.8650470399999999
3078,3077,0.8707046399999999,6.6,0.8704217599999999
3075,3072,0.869856,6.8,0.8690073599999999
3092,3089,0.8746649599999999,7.0,0.87381632
