p,sent,received,G_measured,G,S
0.1,842,838,0.2381849599999999,0.25,0.2370534399999999
0.3,866,863,0.2449740799999999,0.25,0.2441254399999999
0.5,860,838,0.2432767999999999,0.25,0.2370534399999999
1.0,893,856,0.25261184,0.25,0.24214528
0.1,1821,1770,0.5151244799999999,0.5,0.5006976
0.3,1710,1591,0.4837247999999999,0.5,0.4500620799999999
0.5,1768,1580,0.50013184,0.5,0.4469503999999999
1.0,1809,1445,0.51172992,0.5,0.4087616
0.1,2532,2349,0.7162521599999999,0.75,0.6644851199999999
0.3,2635,2243,0.7453888,0.75,0.6344998399999999
0.5,2660,2074,0.7524607999999999,0.75,0.58669312
1.0,2566,1781,0.72587008,0.75,0.50380928
0.1,3465,2904,0.9801792,1.0,0.8214835199999999
0.3,3489,2452,0.98696832,1.0,0.6936217599999999
0.5,3467,2283,0.98074496,1.0,0.64581504
1.0,3492,1920,0.98781696,1.0,0.5431296
0.1,4217,2733,1.19290496,1.25,0.7731110399999999
0.3,4315,2448,1.2206271999999998,1.25,0.6924902399999999
0.5,4226,2195,1.19545088,1.25,0.6209216
1.0,4345,1895,1.2291135999999998,1.25,0.5360575999999999
0.1,4835,2454,1.3677247999999995,1.5,0.69418752
0.3,5165,2189,1.4610752,1.5,0.6192243199999999
0.5,5200,2050,1.4709759999999996,1.5,0.579904
1.0,5214,1730,1.47493632,1.5,0.4893823999999999
0.1,6193,1770,1.75187584,2.0,0.5006976
0.3,6639,1624,1.87804032,2.0,0.4593971199999999
0.5,6750,1572,1.90944,2.0,0.4446873599999999
1.0,6898,1410,1.95130624,2.0,0.3988607999999999
0.1,7152,1428,2.02315776,2.5,0.40395264
0.3,8114,1162,2.29528832,2.5,0.32870656
0.5,8385,1077,2.3719488,2.5,0.3046617599999999
1.0,8465,1024,2.3945792,2.5,0.2896691199999999
0.1,8273,1085,2.34026624,3.0,0.3069247999999999
0.3,9548,791,2.70093824,3.0,0.22375808
0.5,9831,790,2.78099328,3.0,0.2234751999999999
1.0,10187,747,2.88169856,3.0,0.2113113599999999
