distance,rx_power
0,8.0
1,7.267184500363544
2,4.8942256666070385
3,0.14404289247270974
4,-3.4127526738715908
5,-11.136667671687935
6,-13.850424588397175
7,-8.140828219619863
8,-6.713628568986284
9,-7.552068917528491
10,-17.791142740585446
20,-25.772292502373404
30,-14.327091190553325
40,-28.145939790160078
50,-32.61899925651777
60,-32.877556348166344
70,-28.811357180097467
80,-29.751971164177654
90,-25.24402409025444
100,-26.421225850594823
200,-49.56913463152693
300,-41.60551308258124
400,-50.01776766963767
500,-44.99800984312688
600,-60.784033433061495
700,-51.60196702214751
800,-50.3575524546809
900,-43.828354236914876
1000,-45.10574687355686
2000,-65.48866698608295
3000,-69.30493616469425
4000,-69.10957422289607
5000,-70.30310591268227
6000,-64.82475271984696
7000,-72.10573015149583
8000,-64.18766757126605
9000,-74.90646892043189
10000,-69.8989600792167
20000,-85.27441153981316
30000,-88.70369799990095
40000,-85.89060394325107
50000,-86.18560732684765
60000,-90.89523569499984
70000,-86.61547812428493
80000,-86.9533380445681
90000,-94.67641752386693
