sent,received,G,S
150,132,0.117432,0.10334016
223,183,0.1745822399999999,0.1432670399999999
380,291,0.2974944,0.2278180799999999
505,320,0.3953544,0.2505216
622,388,0.48695136,0.30375744
702,423,0.5495817599999999,0.3311582399999999
865,457,0.6771912,0.35777616
985,447,0.7711368000000001,0.34994736
1129,498,0.88387152,0.38987424
1316,468,1.03027008,0.36638784
1400,472,1.096032,0.3695193599999999
1518,451,1.18841184,0.35307888
1667,442,1.3050609599999998,0.34603296
1756,443,1.37473728,0.34681584
1887,451,1.47729456,0.35307888
2018,392,1.57985184,0.30688896
2123,397,1.66205424,0.31080336
2404,360,1.88204352,0.2818368
2483,360,1.94389104,0.2818368
2493,339,1.95171984,0.2653963199999999
2731,326,2.13804528,0.25521888
2761,323,2.16153168,0.2528702399999999
2930,255,2.2938384,0.1996344
3067,286,2.40109296,0.22390368
3229,263,2.52791952,0.20589744
3274,251,2.56314912,0.19650288
3417,236,2.67510096,0.1847596799999999
3547,213,2.77687536,0.16675344
3711,197,2.90526768,0.1542273599999999
3768,192,2.94989184,0.15031296
3978,183,3.11429664,0.1432670399999999
4041,178,3.16361808,0.13935264
4136,164,3.23799168,0.12839232
4365,165,3.4172712,0.1291752
4505,117,3.5268744,0.09159696
4535,112,3.5503607999999995,0.0876825599999999
4738,102,3.70928544,0.07985376
4911,99,3.84472368,0.07750512
4986,94,3.90343968,0.07359072
5038,95,3.94414944,0.0743736
5242,73,4.10385696,0.05715024
5360,89,4.196236799999999,0.06967632
5555,71,4.3488984,0.0555844799999999
5655,54,4.4271864,0.04227552
5649,54,4.42248912,0.04227552
5821,58,4.55714448,0.0454070399999999
6071,35,4.75286448,0.0274008
6071,50,4.75286448,0.039144
6376,34,4.99164288,0.0266179199999999
6518,45,5.10281184,0.0352296
