sent,received,G,S
119,109,0.0931627199999999,0.08533392
274,215,0.21450912,0.1683192
367,272,0.28731696,0.2129433599999999
529,354,0.41414352,0.27713952
614,412,0.48068832,0.32254656
742,422,0.58089696,0.3303753599999999
932,450,0.72964416,0.352296
1056,460,0.82672128,0.3601247999999999
1144,458,0.89561472,0.3585590399999999
1326,488,1.03809888,0.3820454399999999
1376,491,1.07724288,0.38439408
1548,466,1.21189824,0.36482208
1630,471,1.2760944,0.36873648
1765,430,1.3817832,0.3366384
1966,458,1.53914208,0.3585590399999999
2061,426,1.61351568,0.33350688
2141,395,1.67614608,0.3092376
2308,390,1.80688704,0.3053231999999999
2431,360,1.90318128,0.2818368
2487,344,1.94702256,0.26931072
2771,314,2.16936048,0.2458243199999999
2863,293,2.24138544,0.22938384
3015,295,2.3603832,0.2309496
3025,289,2.368212,0.22625232
3194,263,2.50051872,0.20589744
3323,236,2.60151024,0.1847596799999999
3465,226,2.7126792,0.1769308799999999
3627,194,2.83950576,0.15187872
3686,210,2.88569568,0.1644048
3829,182,2.99764752,0.14248416
3932,169,3.07828416,0.13230672
4027,169,3.1526577599999994,0.13230672
4213,168,3.29827344,0.13152384
4317,158,3.37969296,0.1236950399999999
4521,132,3.53940048,0.10334016
4590,103,3.5934192,0.08063664
4751,111,3.71946288,0.08689968
4712,105,3.68893056,0.0822024
5031,94,3.93866928,0.07359072
5075,83,3.973116,0.06497904
5170,81,4.0474896,0.06341328
5378,78,4.210328639999999,0.0610646399999999
5551,81,4.34576688,0.06341328
5536,72,4.33402368,0.05636736
5928,52,4.64091264,0.04070976
5898,42,4.61742624,0.03288096
5946,40,4.65500448,0.0313152
6274,49,4.91178912,0.03836112
6330,38,4.9556304,0.02974944
6375,42,4.99086,0.03288096
