id,time,snr,rssi,collision,missed_start,missed_end,interrupted
1,1000.0760329999999,128.0,8.0,False,False,False,
2,1000.156033,140.0,20.0,False,False,False,
3,2000.076032,128.0,8.0,False,False,False,
4,2000.1560319999999,140.0,20.0,False,False,False,
5,3000.076032,128.0,8.0,False,False,False,
6,3000.156032,140.0,20.0,False,False,False,
7,4000.076032,128.0,8.0,False,False,False,
8,4000.156032,140.0,20.0,False,False,False,
9,5000.076032,128.0,8.0,False,False,False,
10,5000.156032,140.0,20.0,False,False,False,
11,6000.076032,128.0,8.0,False,False,False,
12,6000.156032,140.0,20.0,False,False,False,
13,7000.076032,128.0,8.0,False,False,False,
14,7000.156032,140.0,20.0,False,False,False,
15,8000.076032,128.0,8.0,False,False,False,
16,8000.156032,140.0,20.0,False,False,False,
17,9000.076031999999,128.0,8.0,False,False,False,
18,9000.156031999999,140.0,20.0,False,False,False,
19,10000.076031999999,128.0,8.0,False,False,False,
20,10000.156031999999,140.0,20.0,False,False,False,
21,11000.076031999999,128.0,8.0,False,False,False,
22,11000.156031999999,140.0,20.0,False,False,False,
23,12000.076031999999,128.0,8.0,False,False,False,
24,12000.156031999999,140.0,20.0,False,False,False,
25,13000.076031999999,128.0,8.0,False,False,False,
26,13000.156031999999,140.0,20.0,False,False,False,
27,14000.076031999999,128.0,8.0,False,False,False,
28,14000.156031999999,140.0,20.0,False,False,False,
29,15000.076031999999,128.0,8.0,False,False,False,
30,15000.156031999999,140.0,20.0,False,False,False,
31,16000.076031999999,128.0,8.0,False,False,False,
32,16000.156031999999,140.0,20.0,False,False,False,
33,17000.076032,128.0,8.0,False,False,False,
34,17000.156032,140.0,20.0,False,False,False,
35,18000.076032,128.0,8.0,False,False,False,
36,18000.156032,140.0,20.0,False,False,False,
37,19000.076032,128.0,8.0,False,False,False,
38,19000.156032,140.0,20.0,False,False,False,
39,20000.076032,128.0,8.0,False,False,False,
40,20000.156032,140.0,20.0,False,False,False,
41,21000.076032,128.0,8.0,False,False,False,
42,21000.156032,140.0,20.0,False,False,False,
43,22000.076031999997,128.0,8.0,False,False,False,
44,22000.156032,140.0,20.0,False,False,False,
45,23000.076031999997,128.0,8.0,False,False,False,
46,23000.156032,140.0,20.0,False,False,False,
47,24000.076031999997,128.0,8.0,False,False,False,
48,24000.156032,140.0,20.0,False,False,False,
49,25000.076031999997,128.0,8.0,False,False,False,
50,25000.156032,140.0,20.0,False,False,False,
51,26000.076031999997,128.0,8.0,False,False,False,
52,26000.156032,140.0,20.0,False,False,False,
53,27000.076031999997,128.0,8.0,False,False,False,
54,27000.156032,140.0,20.0,False,False,False,
55,28000.076031999997,128.0,8.0,False,False,False,
56,28000.156032,140.0,20.0,False,False,False,
57,29000.076031999997,128.0,8.0,False,False,False,
58,29000.156032,140.0,20.0,False,False,False,
59,30000.076031999997,128.0,8.0,False,False,False,
60,30000.156032,140.0,20.0,False,False,False,
61,31000.076031999997,128.0,8.0,False,False,False,
62,31000.156032,140.0,20.0,False,False,False,
63,32000.076031999997,128.0,8.0,False,False,False,
64,32000.156032,140.0,20.0,False,False,False,
65,33000.076032,128.0,8.0,False,False,False,
66,33000.156032,140.0,20.0,False,False,False,
67,34000.076032,128.0,8.0,False,False,False,
68,34000.156032,140.0,20.0,False,False,False,
69,35000.076032,128.0,8.0,False,False,False,
70,35000.156032,140.0,20.0,False,False,False,
71,36000.076032,128.0,8.0,False,False,False,
72,36000.156032,140.0,20.0,False,False,False,
73,37000.076032,128.0,8.0,False,False,False,
74,37000.156032,140.0,20.0,False,False,False,
75,38000.076032,128.0,8.0,False,False,False,
76,38000.156032,140.0,20.0,False,False,False,
77,39000.076032,128.0,8.0,False,False,False,
78,39000.156032,140.0,20.0,False,False,False,
79,40000.076032,128.0,8.0,False,False,False,
80,40000.156032,140.0,20.0,False,False,False,
81,41000.076032,128.0,8.0,False,False,False,
82,41000.156032,140.0,20.0,False,False,False,
83,42000.076032,128.0,8.0,False,False,False,
84,42000.156032,140.0,20.0,False,False,False,
85,43000.076032,128.0,8.0,False,False,False,
86,43000.156032,140.0,20.0,False,False,False,
87,44000.076032,128.0,8.0,False,False,False,
88,44000.156032,140.0,20.0,False,False,False,
89,45000.076032,128.0,8.0,False,False,False,
90,45000.156032,140.0,20.0,False,False,False,
91,46000.076032,128.0,8.0,False,False,False,
92,46000.156032,140.0,20.0,False,False,False,
93,47000.076032,128.0,8.0,False,False,False,
94,47000.156032,140.0,20.0,False,False,False,
95,48000.076032,128.0,8.0,False,False,False,
96,48000.156032,140.0,20.0,False,False,False,
97,49000.076032,128.0,8.0,False,False,False,
98,49000.156032,140.0,20.0,False,False,False,
99,50000.076032,128.0,8.0,False,False,False,
100,50000.156032,140.0,20.0,False,False,False,
101,51000.076032,128.0,8.0,False,False,False,
102,51000.156032,140.0,20.0,False,False,False,
103,52000.076032,128.0,8.0,False,False,False,
104,52000.156032,140.0,20.0,False,False,False,
105,53000.076032,128.0,8.0,False,False,False,
106,53000.156032,140.0,20.0,False,False,False,
107,54000.076032,128.0,8.0,False,False,False,
108,54000.156032,140.0,20.0,False,False,False,
109,55000.076032,128.0,8.0,False,False,False,
110,55000.156032,140.0,20.0,False,False,False,
111,56000.076032,128.0,8.0,False,False,False,
112,56000.156032,140.0,20.0,False,False,False,
113,57000.076032,128.0,8.0,False,False,False,
114,57000.156032,140.0,20.0,False,False,False,
115,58000.076032,128.0,8.0,False,False,False,
116,58000.156032,140.0,20.0,False,False,False,
117,59000.076032,128.0,8.0,False,False,False,
118,59000.156032,140.0,20.0,False,False,False,
119,60000.076032,128.0,8.0,False,False,False,
120,60000.156032,140.0,20.0,False,False,False,
121,61000.076032,128.0,8.0,False,False,False,
122,61000.156032,140.0,20.0,False,False,False,
123,62000.076032,128.0,8.0,False,False,False,
124,62000.156032,140.0,20.0,False,False,False,
125,63000.076032,128.0,8.0,False,False,False,
126,63000.156032,140.0,20.0,False,False,False,
127,64000.076032,128.0,8.0,False,False,False,
128,64000.156032,140.0,20.0,False,False,False,
129,65000.076032,128.0,8.0,False,False,False,
130,65000.156032,140.0,20.0,False,False,False,
131,66000.076032,128.0,8.0,False,False,False,
132,66000.156032,140.0,20.0,False,False,False,
133,67000.076032,128.0,8.0,False,False,False,
134,67000.156032,140.0,20.0,False,False,False,
135,68000.076032,128.0,8.0,False,False,False,
136,68000.156032,140.0,20.0,False,False,False,
137,69000.076032,128.0,8.0,False,False,False,
138,69000.156032,140.0,20.0,False,False,False,
139,70000.076032,128.0,8.0,False,False,False,
140,70000.156032,140.0,20.0,False,False,False,
141,71000.076032,128.0,8.0,False,False,False,
142,71000.156032,140.0,20.0,False,False,False,
143,72000.076032,128.0,8.0,False,False,False,
144,72000.156032,140.0,20.0,False,False,False,
145,73000.076032,128.0,8.0,False,False,False,
146,73000.156032,140.0,20.0,False,False,False,
147,74000.076032,128.0,8.0,False,False,False,
148,74000.156032,140.0,20.0,False,False,False,
149,75000.076032,128.0,8.0,False,False,False,
150,75000.156032,140.0,20.0,False,False,False,
151,76000.076032,128.0,8.0,False,False,False,
152,76000.156032,140.0,20.0,False,False,False,
153,77000.076032,128.0,8.0,False,False,False,
154,77000.156032,140.0,20.0,False,False,False,
155,78000.076032,128.0,8.0,False,False,False,
156,78000.156032,140.0,20.0,False,False,False,
157,79000.076032,128.0,8.0,False,False,False,
158,79000.156032,140.0,20.0,False,False,False,
159,80000.076032,128.0,8.0,False,False,False,
160,80000.156032,140.0,20.0,False,False,False,
161,81000.076032,128.0,8.0,False,False,False,
162,81000.156032,140.0,20.0,False,False,False,
163,82000.076032,128.0,8.0,False,False,False,
164,82000.156032,140.0,20.0,False,False,False,
165,83000.076032,128.0,8.0,False,False,False,
166,83000.156032,140.0,20.0,False,False,False,
167,84000.076032,128.0,8.0,False,False,False,
168,84000.156032,140.0,20.0,False,False,False,
169,85000.076032,128.0,8.0,False,False,False,
170,85000.156032,140.0,20.0,False,False,False,
171,86000.076032,128.0,8.0,False,False,False,
172,86000.156032,140.0,20.0,False,False,False,
173,87000.076032,128.0,8.0,False,False,False,
174,87000.156032,140.0,20.0,False,False,False,
175,88000.076032,128.0,8.0,False,False,False,
176,88000.156032,140.0,20.0,False,False,False,
177,89000.076032,128.0,8.0,False,False,False,
178,89000.156032,140.0,20.0,False,False,False,
179,90000.076032,128.0,8.0,False,False,False,
180,90000.156032,140.0,20.0,False,False,False,
181,91000.076032,128.0,8.0,False,False,False,
182,91000.156032,140.0,20.0,False,False,False,
183,92000.076032,128.0,8.0,False,False,False,
184,92000.156032,140.0,20.0,False,False,False,
185,93000.076032,128.0,8.0,False,False,False,
186,93000.156032,140.0,20.0,False,False,False,
187,94000.076032,128.0,8.0,False,False,False,
188,94000.156032,140.0,20.0,False,False,False,
189,95000.076032,128.0,8.0,False,False,False,
