distance,rssi
0,8.0
1,6.8502861976583835
2,-5.423882416507288
3,-7.671398543596645
4,-9.590684981865387
5,-12.572245260561267
6,-13.058538542210083
7,-19.320890832660254
8,-24.857842796592948
9,-17.114023131930338
10,-23.9092150547717
20,-30.63496294696852
30,-34.599212360877594
40,-41.95795095391041
50,-42.91170241244485
60,-48.26615250951694
70,-47.81466137717458
80,-48.96858498272246
90,-48.991558535841534
100,-53.12101041959795
150,-55.288813726435606
200,-65.20164527881985
250,-61.02319267474047
300,-67.27939823476778
350,-69.04745879500432
400,-73.56560828321068
450,-72.70174121768747
500,-73.12239781706711
550,-73.59234471916355
600,-77.8134748598754
650,-78.9668409935875
700,-79.38329831815454
750,-75.38330653650846
800,-74.9793337742454
850,-77.03287369339695
900,-81.9071433676557
950,-80.21749525459562
1000,-82.02269760779876
1100,-83.66174092510262
1200,-83.88163799447189
1300,-86.36520843004676
1400,-85.28976033717242
1500,-87.4403299182529
1600,-87.6142192606448
1700,-89.2138677871875
1800,-90.35139093281647
1900,-89.43636889207818
2000,-90.37633780204267
2100,-91.55010925956796
2200,-93.07223052098914
2300,-96.30457657337423
2400,-93.6275918762035
2500,-93.35262387282663
2600,-96.97363829269253
2700,-91.07465117357738
2800,-92.93768693074838
2900,-96.56706282976698
3000,-92.13101612032305
3100,-93.37054282103857
3200,-99.37691455537102
3300,-97.65147684836128
3400,-99.70019562200902
3500,-102.74154354212989
3600,-96.57321370175639
3700,-95.35726583303438
3800,-96.47380412983121
3900,-98.63503506521407
4000,-97.2724067429046
4100,-101.64171079114135
4200,-98.60717360703173
4300,-102.96121655898253
4400,-105.03847403981902
4500,-99.98552621673156
4600,-99.8044869114333
4700,-102.05602203780586
4800,-102.64696217154659
4900,-101.31157233413224
5000,-103.99705149724255
5100,-102.28123561740668
5200,-105.3322901516312
5300,-100.67658028125899
5400,-104.94257815518014
5500,-103.25440077433319
5600,-101.36527243601418
5700,-104.06754421349048
5800,-106.14523388205612
5900,-106.57472649649372
6000,-106.43217167836758
6100,-106.26185161561605
6200,-106.9370227725721
6300,-106.24214389255813
6400,-107.52474915764408
6500,-107.68371874442117
6600,-103.53977509314272
6700,-109.18221352043075
6800,-106.71716559305975
6900,-106.96959848073811
7000,-106.97834088557263
7100,-105.3648379566483
7200,-106.55780917508213
7300,-107.84340612336034
7400,-108.68544988980601
7500,-108.41796216380173
7600,-106.76434649835203
7700,-106.65344515472971
7800,-107.37944034722464
7900,-109.66347946433905
8000,-110.89410121183583
8100,-111.96183250403567
8200,-110.25411014959408
8300,-110.96104600992358
8400,-108.03432641588549
8500,-109.95075894866606
8600,-111.31761058990777
8700,-110.96131695417567
8800,-110.10541078148071
8900,-107.69600671563394
9000,-111.28420835084346
9100,-111.81398083561994
9200,-117.04852106595085
9300,-111.34976508067714
9400,-112.3346793680464
9500,-110.79963388547921
9600,-112.04610645314187
9700,-108.14878307252232
9800,-112.92695121643551
9900,-109.67610486183347
10000,-112.416518008837
11000,-116.12912669594431
12000,-112.01097965555675
13000,-116.12423633444492
14000,-118.5908581623344
15000,-118.32232429276877
16000,-118.96040912662741
17000,-121.59361082272935
18000,-115.33155526731808
19000,-117.36282632161713
20000,-119.94167408983634
21000,-122.95012439213565
22000,-120.61380785643522
23000,-122.5940363361976
24000,-123.37797030386497
25000,-121.58771154399335
26000,-122.01785882287163
27000,-124.11103397097992
28000,-126.72120268791741
29000,-126.20275529433417
30000,-128.87073036819916
31000,-127.19716120692692
32000,-126.49685680208427
33000,-127.61490404583671
34000,-126.07799701878517
35000,-126.50359911302888
36000,-126.30545396589704
37000,-126.76232980535576
38000,-127.76584934430568
39000,-126.64073024025089
40000,-127.40321460088887
41000,-131.98985912160657
42000,-131.10641896314826
43000,-132.51895096454967
44000,-127.31378013753869
45000,-133.3819423171702
46000,-131.4210366318226
47000,-129.4520585895649
48000,-132.29661329364652
49000,-133.26268013327902
50000,-133.4852197958632
51000,-134.91388181014565
52000,-138.11924746690102
53000,-131.57640382333557
54000,-131.4969546102623
55000,-134.4101182659257
56000,-136.46375729704
57000,-132.78306030835822
58000,-134.55523202623684
59000,-139.1583198253743
60000,-132.5506402639896
61000,-135.51342119723208
62000,-138.26574619461354
63000,-137.53717529569198
64000,-139.57450755783861
65000,-137.35004646234145
66000,-138.75771355204796
67000,-137.30945204207947
68000,-138.62467539584264
69000,-138.40421309701316
70000,-137.31056613220485
71000,-136.6661812018212
72000,-140.89517266852724
73000,-139.4727951236174
74000,-138.31418139363134
75000,-135.38108630428587
76000,-139.6841723214188
77000,-139.25901262235845
78000,-138.54255599653933
79000,-141.39623523763197
80000,-137.8246398426752
81000,-136.44021188611035
82000,-140.03857161067222
83000,-141.75727786258972
84000,-140.70603153306845
85000,-137.02511463461877
86000,-139.76030229597146
87000,-140.30815571398688
88000,-139.52614340178997
89000,-138.33320964966663
90000,-139.26966614407556
91000,-141.68394800635755
92000,-141.04970721240622
93000,-141.733154591574
94000,-140.1028355289094
95000,-144.16618230647347
96000,-141.07052808294424
97000,-141.51723196772485
98000,-137.6447751125966
99000,-142.0149568072961
100000,-142.99688314257378
110000,-140.2235492392919
120000,-148.20103772108612
130000,-144.03870059946425
140000,-145.35325712826375
150000,-147.44907813654814
160000,-147.87624562659767
170000,-147.6354484977712
180000,-150.99860019545957
190000,-147.0811860257669
200000,-154.23126629145807
210000,-147.7020906296358
220000,-152.28651588037965
230000,-156.00240196557317
240000,-154.69302122807784
250000,-154.33253578719552
260000,-152.39494267016232
270000,-154.44026288630621
280000,-156.42119203380588
290000,-156.35700657460453
300000,-159.89285707526267
310000,-155.91364898128566
320000,-155.89886330039525
330000,-157.40640642755758
340000,-157.5697307753994
350000,-157.30068912230786
360000,-157.03091795608987
370000,-158.78044910383468
380000,-160.2849596989555
